id,product_name,brand,category,product_url,ingredient_raw
11,5% Niacinamide + Moisture Sabi Beet Serum,Somethinc,#fragrance & essentialoil-free,https://www.skincarisma.com/products/5-niacinamide-moisture-sabi-beet-serum,"Centella Asiatica Water (72.5%), Niacinamide (5%), Methylpropanediol, Betaine, Water, Glycerin, Polysorbate 20, Ammonium Acryloyldimethyltaurate/VP Copolymer, Polyglyceryl-10 Laurate, Tetrahydrocurcumin, Butylene Glycol, Xanthan Gum, Ethylhexylglycerin, Adenosine, Anthemis Nobilis Flower Extract, Beta Vulgaris (Beet) Root Extract, Allantoin, Caffeine, Tocopherol (Vitamin E), 1,2-Hexanediol"
12,Niacinamide Salicylic Acid Balancing Gel-cream Moisturizer,Cosmoderm,#paraben-free,https://www.skincarisma.com/products/niacinamide-salicylic-acid-balancing-gel-cream-moisturizer,"Aqua, Niacinamide, Propylene Glycol, Aluminum Starch Octenylsuccinate, Cyclopentasiloxane, Dimethicone, Panthenol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Glycerin, Isononyl Isononanoate, PEG-40 Hydrogenated Castor Oil, Salicylic Acid, Mentha Piperita (Peppermint) Oil, Disodium EDTA, Fragrance, Phenoxyethanol, Benzyl Alcohol, Ethylhexylglycerin"
13,Somethinc PDRN + Exosome + Peptide,Somethinc,"#fragrance & essentialoil-free, #paraben-free, #sulfate-free, #silicone-free",https://www.skincarisma.com/products/somethinc-pdrn-exosome-peptide,"Aqua, C12-15 Alkyl Benzoate, Caprylic/Capric Triglyceride, Dicaprylyl Carbonate, Glycerin, Cetearyl Olivate, Propanediol, Sodium Dna, Lycium Barbarum Callus Culture Extract, Hydrolyzed Sodium Hyaluronate, Tripeptide-1, Hexapeptide-9, Laminaria Hyperborea Extract, Lecithin, Sorbitan Olivate, Phenoxyethanol, Styrene/Acrylates Copolymer, Panthenol, Hydroxyethyl Urea, Isomalt, Pentylene Glycol, Xanthan Gum, Disodium EDTA, Cellulose Gum, Ethylhexylglycerin, Levulinic Acid, Aminomethyl Propanol, 1,2-Hexanediol, Citric Acid, Diethylamine, 2-Methylpropanol, Sorbic Acid, Sodium Phytate."
14,Low pH Gentle Jelly Cleanser,Somethinc,#fragrance & essentialoil-free,https://www.skincarisma.com/products/low-ph-gentle-jelly-cleanser,"Water, Potassium Laureth Phosphate, Glycerin, Potassium Cocoyl Glutamate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Butylene Glycol, Centella Asiatica Leaf Water, Caprylic/Capric Triglyceride, Aspartic Acid, Caprylyl Glycol, Sodium Cocoyl Glutamate, 1,2-Hexanediol, Lauryl Hydroxysultaine, Coco-Glucoside, Polyglyceryl-10 Laurate, Polyglyceryl-10 Myristate, Glyceryl Caprylate, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Sodium Cocoyl Isethionate, Disodium EDTA, Calendula Officinalis Flower Extract, Mentha Piperita (Peppermint) Oil, Quillaja Saponaria Bark Extract, Artemisia Capillaris Extract."
15,Retinol B3 Serum,The Originote,#fragrance & essentialoil-free,https://www.skincarisma.com/products/retinol-b3-serum-1,"Water, Glycerin, Butylene Glycol, Niacinamide, Glycereth-26, 1,2-Hexanediol, Hydroxyacetophenone, PEG/PPG-17/6 Copolymer, VP/VA Copolymer, Methylpropanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Arginine, Glyceryl Glucoside, Nymphaea Caerulea Flower Water, Ammonium Acryloyldimethyltaurate/VP Copolymer, Glycyrrhiza Uralensis (Licorice) Root Extract, Portulaca Oleracea Flower/Leaf/Stem Extract, Paeonia Suffruticosa Root Bark Extract, Paeonia Lactiflora Extract, Camellia Sinensis Extract, Stephania Tetrandra Extract, Caprylic/Capric Triglyceride, BHT, Sodium Hyaluronate, Panthenol, Soluble Collagen, Phospholipids, Ergothioneine, Retinol, Retinal, Hydroxypinacolone Retinoate, Propanediol, Phenoxyethanol, Potassium Sorbate, Sodium Benzoate, Mannitol, Propylene Glycol, Ubiquinone, Centella Asiatica Extract, Artemisia Argyi Leaf Extract, Hydrolyzed Collagen, Ethylhexylglycerin, Caprylhydroxamic Acid, Hydrogenated Lecithin, Pentylene Glycol, Hexylene Glycol, Stearic Acid, Cholesterol, Hexapeptide-9, Sh-Oligopeptide-1, Tocopherol, Ceramide NP"
16,Somethinc Calm Down Soothing Toner,Somethinc,"#fragrance & essentialoil-free, #paraben-free, #sulfate-free, #silicone-free",https://www.skincarisma.com/products/somethinc-calm-down-soothing-toner,"Aqua, Gluconolactone, Annona Cherimola Fruit Extract, Butylene Glycol, Phenoxyethanol, Polyglyceryl-4 Caprate, Triethanolamine, Disodium EDTA, Ethylhexylglycerin, Sodium Citrate, Pentylene Glycol, Phenylpropanol, Sodium Dehydroacetate, Madecassoside, Methyl Diisopropyl Propionamide, Citric Acid."
17,AHA BHA PHA Peeling Solution,Somethinc,#fragrance & essentialoil-free,https://www.skincarisma.com/products/aha-bha-pha-peeling-solution,"Triethanolamine, Glycerin, Lactobionic Acid, Niacinamide, Citric Acid, Glycolic Acid, Lactic Acid, Panthenol, Salicylic Acid, Polyglyceryl-4 Caprate, Amylopectin, Dextrin, Hydroxyethylcellulose, Phenoxyethanol, Xanthan Gum, CI 16255, Disodium EDTA, CI 19140, CI 17200, Water"
18,Somethinc SKINGLOW® Bright Radiance Moisturizer,Somethinc,"#fragrance & essentialoil-free, #alcohol-free, #paraben-free, #sulfate-free, #silicone-free",https://www.skincarisma.com/products/somethinc-skinglow-bright-radiance-moisturizer,"Oryza Sativa (Rice) Bran Water, Water, Glycerin, Methyl Gluceth-20, 1,2-Hexanediol, Propanediol, Cetyl Ethylhexanoate, Pentylene Glycol, Xylitylglucoside, Epigallocatechin Gallatyl Glucoside, Adenosine, Bisabolol, Ascorbyl Glucoside, Anhydroxylitol, Xylitol, Tremella Fuciformis (Mushroom) Extract, Cyanocobalamin, Glycyrrhiza Uralensis (Licorice) Root Extract, Panthenol, Theobroma Cacao (Cocoa) Extract, Solanum Lycopersicum (Tomato) Fruit Extract, Yeast Extract, Magnesium Chloride, Calcium Gluconate, Pyridoxine Hcl, Hydrogenated Lecithin, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Glyceryl Acrylate/Acrylic Acid Copolymer, Hydroxyacetophenone, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tromethamine, Xanthan Gum, Tocopheryl Acetate, Sodium Dilauramidoglutamide Lysine, Ethylhexylglycerin, Butylene Glycol, Sodium Phytate, Ethyl Hexanediol, Dextrin."
19,Supple Power Hyaluronic9+Onsen Moisture Bomb,Somethinc,#fragrance & essentialoil-free,https://www.skincarisma.com/products/supple-power-hyaluronic9-onsen-moisture-bomb-1,"Onsen-Sui, Water, Glycerin, Propanediol, 1,2-Hexanediol, Caprylic/Capric Triglyceride, Pentylene Glycol, Glyceryl Acrylate/Acrylic Acid Copolymer, Panthenol, Chondrus Crispus Extract, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Lauroyl Lactylate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Saccharum Officinarum (Sugarcane) Extract, Tromethamine, Caprylyl Glycol, Sodium Hyaluronate, Adenosine, Allantoin, Ethylhexylglycerin, Hyaluronic Acid, Ceramide NP, Plumeria Alba Flower Oil, Sodium Phytate, Ceramide AP, Phytosphingosine, Cholesterol, Xanthan Gum, Hydrolyzed Hyaluronic Acid, Carbomer, Hydroxypropyltrimonium Hyaluronate, Hydrolyzed Sodium Hyaluronate, Sodium Acetylated Hyaluronate, PEG-9 Diglycidyl Ether/Sodium Hyaluronate, Potassium Hyaluronate, Ceramide EOP, Tocopherol, Dimethylsilanol Hyaluronate, Sodium Benzoate"
20,Bright Booster UV Barrier Sunscreen SPF 50,OMG Beauty,"#paraben-free, #sulfate-free, #alcohol-free, #silicone-free",https://www.skincarisma.com/products/bright-booster-uv-barrier-sunscreen-spf-50,"Water, Ethylhexyl Methoxycinnamate, Butyl Methoxydibenzoylmethane, Polymethyl Methacrylate, Propanediol, C14-22 Alcohols, Butylene Glycol, Octocrylene, Phenoxyethanol, Propylene Glycol, Niacinamide, Nylon-12, C12-20 Alkyl Glucoside, Glycyrrhiza Glabra Root Extract, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Allantoin, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Chlorphenesin, Glycerin, Potassium Hydroxide, Lecithin, Tocopheryl Acetate, Parfum, Dimethicone, Dimethicone/Vinyl Dimethicone Crosspolymer, Glycereth-20, Pentylene Glycol, Amodimethicone, Carbomer, Disodium EDTA, Sodium Hydroxide, Glucose, Prunus Persica Fruit Extract, BHT, Sodium Ascorbyl Phosphate"
21,Acne Treatment Gentle Cleanser,Hanasui,#paraben-free,https://www.skincarisma.com/products/acne-treatment-gentle-cleanser,"Aqua, Glycerin, Sodium Cocoyl Glycinate, Lauramidopropyl Betaine, Disodium Cocoyl Glutamate, Betaine, Hydroxypropyl Starch Phosphate, Niacinamide, Citric Acid, Phenoxyethanol, Salicylic Acid, Allantoin, Parfum, Disodium EDTA, Triethylene Glycol, Melaleuca Alternifolia Leaf Oil, CI 42090, CI 19140"
22,Soy Bright! Moisturizer,Finally Found You!,"#alcohol-free, #paraben-free, #sulfate-free, #fragrance & essentialoil-free",https://www.skincarisma.com/products/soy-bright-moisturizer,"Water (Aqua), Glycerin, Dimethicone, Propylene Glycol, Butylene Glycol, Cetearyl Alcohol, Cetyl Alcohol, Lactobacillus/Collagen/Mesembryanthemum Crystallinum Leaf Extract Ferment Lysate, Hydrolyzed Collagen, Oryza Sativa Germ Extract, Aloe Barbadensis Leaf Extract, Squalane, Allantoin, Tocopheryl Acetate, BHT, Polyglutamic Acid, Glycine Soja (Soybean) Seed Extract, Terminalia Ferdinandiana Fruit Extract, Sodium Hyaluronate, Hydrolyzed Hyaluronic Acid, Hydroxypropyltrimonium Hyaluronate, Sodium Acetylated Hyaluronate, 1,2-Hexanediol, Ethylhexylglycerin, Ceramide NP, Phenoxyethanol, Tromethamine, PEG-7 Glyceryl Cocoate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Disodium EDTA, Sodium Lauroyl Lactylate, Cholesterol, Ceramide AP, Phytosphingosine, Ceramide EOP, Xanthan Gum, Carbomer, Potassium Sorbate, Sodium Benzoate, Citric Acid, Cyclohexane, Acrylic Acid."
23,Somethinc Diamond Phyto Stem Cell Serum,Somethinc,"#fragrance & essentialoil-free, #paraben-free, #sulfate-free, #silicone-free",https://www.skincarisma.com/products/somethinc-diamond-phyto-stem-cell-serum,"Aqua, Ammonium Polyacryloyldimethyl Taurate, Butylene Glycol, Hydrogenated Lecithin, Potassium Methoxysalicylate, Phenoxyethanol, Dipentaerythrityl Hexa C5-9 Acid Esters, Neopentyl Glycol Diheptanoate, Polymethylsilsesquioxane, Polyglyceryl-4 Caprate, Flavor, Benzotriazolyl Dodecyl P-Cresol, BHT, Disodium EDTA, Ethylhexylglycerin, Malus Domestica Fruit Cell Culture Extract, Guaiazulene, Xanthan Gum, Glycerin, Caprylyl Glycol, Lecithin, Diamond Powder, Glyceryl Caprylate, Phenylpropanol, Polyvinyl Alcohol."
24,Kind Extra Hydrating Toner,Skin Game,#fragrance & essentialoil-free,https://www.skincarisma.com/products/kind-extra-hydrating-toner,"Aqua, Trehalose, Panthenol, Propanediol, Glycerin, DMDM Hydantoin, Disodium EDTA"
25,Acne Serum With Triple Clarifying Active,Viva Cosmetics,"#paraben-free, #sulfate-free, #silicone-free, #alcohol-free, #fragrance & essentialoil-free",https://www.skincarisma.com/products/acne-serum-with-triple-clarifying-active,"Water (Aqua), Niacinamide, Betaine, Sodium Citrate, Propylene Glycol, Propanediol, Centella Asiatica Extract, Butylene Glycol, Salicylic Acid, Phenoxyethanol, Polyacrylate Crosspolymer-6, Glycerin, Xanthan Gum, Ethylhexylglycerin, Triethylene Glycol, Citric Acid, Potassium Sorbate, Sodium Benzoate."
26,All Rounder Gel Cream Moisturizer,HALE,"#fragrance & essentialoil-free, #alcohol-free, #paraben-free, #sulfate-free",https://www.skincarisma.com/products/all-rounder-gel-cream-moisturizer,"Water, Glycerin, Niacinamide, Propanediol, 1,2-Hexanediol, Pentylene Glycol, Cyclopentasiloxane, Glyceryl Acrylate/Acrylic Acid Copolymer, Cyclohexasiloxane, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Tromethamine, Adenosine, Allantoin, Ethylhexylglycerin, Sodium Phytate, Ubiquinone, Tocopheryl Acetate, Tocopherol, Centella Asiatica Extract, Resveratrol, Butylene Glycol, Dextrin, Theobroma Cacao Seed Extract, Glycyrrhiza Glabra Root Extract, Camellia Sinensis Leaf Extract, Punica Granatum Fruit Extract, Mentha Rotundifolia Leaf Extract, Thymus Vulgaris Leaf Extract"
27,Your Skin Bae Vitamin C 3% + Niacinamide 2% + Mandarin Orange Fruit Extract Serum,Avoskin,#fragrance & essentialoil-free,https://www.skincarisma.com/products/your-skin-bae-vitamin-c-3-niacinamide-2-mandarin-orange-fruit-extract-serum,"Water, Propylene Glycol, 3-O-Ethyl Ascorbic Acid, Glycerin, Niacinamide, Xanthan Gum, Phenoxyethanol, Chlorphenesin, Citrus Nobilis Fruit Extract, Tetrasodium EDTA, Sodium Bisulfite, Biosaccharide Gum-1, Sodium Hydroxide"
28,Calm Down! Skinpair Bubble Cleanser,Somethinc,#paraben-free,https://www.skincarisma.com/products/calm-down-skinpair-bubble-cleanser,"Aqua, Cocamidopropyl Betaine, Potassium Cocoyl Glycinate, Glycerin, Sodium Cocoamphoacetate, Polyglyceryl-4 Caprate, Panthenol, Propylene Glycol, Phenoxyethanol, Flavour, Xylitylglucoside, Aloe Barbadensis Leaf Extract, Artemisia Vulgaris (Mugwort) Extract, Houttuynia Cordata (Leaf) Extract, PEG-150 Distearate, Anhydroxylitol, Xylitol, Ethylhexylglycerin, Benzotriazolyl Dodecyl P-Cresol, Citric Acid, Glucose, Glyceryl Acrylate/Acrylic Acid Copolymer, Pvm/Ma Copolymer, Maris Aqua (Sea Water), Sodium Benzoate, Potassium Sorbate, Propanediol, Emiliania Huxleyi Extract"
29,Somethinc Gentle Bright Niacinamide + Alpha Arbutin Serum,Somethinc,"#fragrance & essentialoil-free, #alcohol-free, #paraben-free, #sulfate-free, #silicone-free",https://www.skincarisma.com/products/somethinc-gentle-bright-niacinamide-alpha-arbutin-serum,"Water, Methylpropanediol, Dipropylene Glycol, Propanediol, Alpha-Arbutin, Butylene Glycol, 1,2-Hexanediol, Niacinamide, Pentylene Glycol, Sodium Palmitoyl Proline, Arisaema Amurense Extract, PPG-13-Decyltetradeceth-24, Hydroxyacetophenone, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Glyceryl Glucoside, Decyl Glucoside, Carbomer, Glycerin, Tromethamine, Allantoin, Ethylhexylglycerin, Dipotassium Glycyrrhizate, Sorbitan Isostearate, Polysorbate 60, Xanthan Gum, Sodium Phytate, Polyquaternium-51, Tremella Fuciformis (Mushroom) Extract, Nymphaea Alba Flower Extract, Ethyl Hexanediol, Resveratrol, Solanum Lycopersicum (Tomato) Fruit Extract, Ascorbyl Glucoside, Ci 19140, Magnesium Chloride, Ci 16255, Panthenol, Calcium Gluconate, Tocopherol, Pyridoxine Hcl, Yeast Extract, Cyanocobalamin."
30,Glow Maker Clarifying Treatment Toner,Somethinc,#fragrance & essentialoil-free,https://www.skincarisma.com/products/glow-maker-clarifying-treatment-toner,"Water, Butylene Glycol, Glycolic Acid, Arginine, 1,2-Hexanediol, Betaine, Allantoin, Lactobionic Acid, Anthemis Nobilis Flower Extract, Salicylic Acid, Caffeine"
31,Hyalucera Moisturizer,The Originote,#fragrance & essentialoil-free,https://www.skincarisma.com/products/hyalucera-moisturizer,"Water, Glycerin, Butylene Glycol, Glycereth-26, 1,2-Hexanediol, Hydroxyacetophenone, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Panthenol, Hydroxyethylpiperazine Ethane Sulfonic Acid, Diglycerin, Propylene Glycol, Triethanolamine, Methylpropanediol, Sodium Hyaluronate, Allantoin, Glucose, Sophora Angustifolia Root Extract, Stephania Tetrandra Extract, Hydrolyzed Hyaluronic Acid, Cnidium Monnieri Fruit Extract, Glycyrrhiza Uralensis (Licorice) Root Extract, Phellodendron Amurense Bark Extract, Phenoxyethanol, Caprylic/Capric Triglyceride, Chlorella Vulgaris Extract, Spirulina Platensis Extract, Hydrogenated Lecithin, Chlorphenesin, Hexylene Glycol, Stearic Acid, Cholesterol, Ceramide NP"
32,Hydramax-C Sunscreen Serum SPF50 PA++++,Azarine,#fragrance & essentialoil-free,https://www.skincarisma.com/products/hydramax-c-sunscreen-serum-spf50-pa,"Water, Ethylhexyl Methoxycinnamate, Butyl Methoxydibenzoylmethane, Glycerin, Propanediol, Polymethyl Methacrylate, Octocrylene, Butylene Glycol, Ectoin, Ascorbic Acid, Hydroxypropyltrimonium Hyaluronate, Hyaluronic Acid, Acrylates Crosspolymer, Allantoin, Phenoxyethanol, Sodium Acetylated Hyaluronate, Hydrolyzed Hyaluronic Acid, Tocopheryl Acetate, Chlorphenesin, Potassium Hyaluronate, Sodium Hyaluronate Crosspolymer, Hydrolyzed Sodium Hyaluronate, Caprylyl 2-Glyceryl Ascorbate, Xanthan Gum."
33,Hyalu-C Serum,The Originote,#fragrance & essentialoil-free,https://www.skincarisma.com/products/hyalu-c-serum,"Water, Glycerin, Butylene Glycol, Niacinamide, Glycereth-26, Jasminum Sambac (Jasmine) Flower Water, Hydrogenated Castor Oil, Bellis Perennis (Daisy) Extract, Hydroxyacetophenone, 1,2-Hexanediol, PEG/PPG-17/6 Copolymer, Methylpropanediol, Hydroxyethylcellulose, Allantoin, Glyceryl Glucoside, Gardenia Taitensis Flower Oil, Propylene Glycol, CI 19140, Sodium Hyaluronate, Stephania Tetrandra Extract, Caprylic/Capric Triglyceride, Anthemis Nobilis Flower Extract, Hyaluronic Acid, Ergothioneine, Hydrogenated Lecithin, Hexylene Glycol, Stearic Acid, Cholesterol, Phenoxyethanol, Mannitol, Ceramide NP, Helianthus Annuus (Sunflower) Seed Oil, Hydrolyzed Collagen, Hydroxypropyltrimonium Hyaluronate, Sodium Acetylated Hyaluronate, Centella Asiatica Extract, Propanediol, Oligopeptide-1, Hexapeptide-9, 3-O-Ethyl Ascorbic Acid, Ascorbic Acid, Magnesium Ascorbyl Phosphate, Hydrolyzed Hyaluronic Acid, Tagetes Erecta Flower Extract, EDTA, Artemisia Argyi Leaf Extract, Caprylhydroxamic Acid"
34,Intense Luminous Barrier Moisturizer,Azarine,#fragrance & essentialoil-free,https://www.skincarisma.com/products/intense-luminous-barrier-moisturizer,"Aqua, Glycerin, Squalane, Oryza Sativa Extract, Sodium Hyaluronate, Ceramide 3, Panthenol, Chlorphenesin, Polyacrylate Crosspolymer-6, Polyglyceryl-10 Oleate, Phytol, Isomalt, Caprylic/Capric Triglyceride, Polyglyceryl-6 Oleate, Cetyl Palmitate, Sorbitan Palmitate, Sorbitan Stearate, Polysorbate 80, Hydroxyresveratrol, Hydrogenated Lecithin, Palmitoyl Tetrapeptide-10"
